phase	revision	gate_action	cleanup_signals	source_window	model_input	model_output	segment_result	final_outcome	reject_reasons	gate_reasons	strict_placeholders
stream	13	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。<KEY>[长江、湖北、荆州]	45.22米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	true
stream	14	refine	numeric_normalization	凶猛的洪水以每秒超过六万立方米的流量涌来，几乎就快超过荆江大堤。在那个惊心动魄的夏天过后，	凶猛的洪水以每秒超过六万立方米的流量涌来，几乎就快超过荆江大堤。在那个惊心动魄的夏天过后，	凶猛的洪水以每秒超过60000立方米的流量涌来，几乎就快超过荆江大堤。在那个惊心动魄的夏天过后。<KEY>[荆江大堤]	凶猛的洪水以每秒超过60000立方米的流量涌来，几乎就快超过荆江大堤。在那个惊心动魄的夏天过后。	accepted		cleanup_signal_present	false
stream	14	refine	numeric_normalization	为了提高防御等级。人们将大堤加高了一到两米。不过，	为了提高防御等级。人们将大堤加高了一到两米。不过，	为了提高防御等级。人们将大堤加高了一到2米。不过，	为了提高防御等级。人们将大堤加高了一到2米。不过，	accepted		cleanup_signal_present	false
stream	15	refine	numeric_normalization	这并非是一个长久之计，因为洪水往往裹挟着大量泥沙，容易淤积，	这并非是一个长久之计，因为洪水往往裹挟着大量泥沙，容易淤积，	这并非是一个长久之计，因为洪水往往裹挟着大量泥沙，容易淤积。	这并非是一个长久之计，因为洪水往往裹挟着大量泥沙，容易淤积。	accepted		cleanup_signal_present	false
stream	16	refine	numeric_normalization	显然无论从成本还是科学性上，都难以持续。要是能有一个巨大的水库，	显然无论从成本还是科学性上，都难以持续。要是能有一个巨大的水库，	显然无论从成本还是科学性上，都难以持续。要是能有一个巨大的水库	显然无论从成本还是科学性上，都难以持续。要是能有一个巨大的水库	accepted		cleanup_signal_present	false
stream	17	refine	numeric_normalization	至今都无故超越的三峡水库。它的最大库容有四百五十亿立方米，足以装得下三千多个西湖。	至今都无故超越的三峡水库。它的最大库容有四百五十亿立方米，足以装得下三千多个西湖。	至今都无故超越的三峡水库。它的最大库容有450亿立方米，足以装得下3000多个西湖。<KEY>[三峡水库]	至今都无故超越的三峡水库。它的最大库容有450亿立方米，足以装得下3000多个西湖。	accepted		cleanup_signal_present	false
stream	20	refine	numeric_normalization	二滩、锦屏等各大支流水库。这些镇守在河道上的五十多座大型水库。	二滩、锦屏等各大支流水库。这些镇守在河道上的五十多座大型水库。	二滩、锦屏等各大支流水库。这些镇守在河道上的50多座大型水库。<KEY>[二滩、锦屏]	二滩、锦屏等各大支流水库。这些镇守在河道上的50多座大型水库。	accepted		cleanup_signal_present	false
stream	21	refine	numeric_normalization	总共能拦截的水量，相当于建起了三座三峡。每年汛期来临之前，	总共能拦截的水量，相当于建起了三座三峡。每年汛期来临之前，	总共能拦截的水量，相当于建起了3座三峡。每年汛期来临之前。	总共能拦截的水量，相当于建起了3座三峡。每年汛期来临之前。	accepted		cleanup_signal_present	false
stream	24	refine	numeric_normalization	从而达到削峰错峰的目的，保证下游河道的安全。再加上覆盖全流域的三万多个监测站点，	从而达到削峰错峰的目的，保证下游河道的安全。再加上覆盖全流域的三万多个监测站点，	从而达到削峰错峰的目的，保证下游河道的安全。再加上覆盖全流域的30000多个监测站点。	从而达到削峰错峰的目的，保证下游河道的安全。再加上覆盖全流域的30000多个监测站点。	accepted		cleanup_signal_present	false
stream	26	refine	repeated_phrase,numeric_normalization	这是为何？在二零二零年夏天，即便从上游袭来的最大洪峰比一九九八年还要凶猛，	这是为何？在二零二零年夏天，即便从上游袭来的最大洪峰比一九九八年还要凶猛，	这是为何？在2020年夏天，即便从上游袭来的最大洪峰比1998年还要凶猛。	这是为何？在2020年夏天，即便从上游袭来的最大洪峰比1998年还要凶猛。	accepted		cleanup_signal_present	false
stream	27	refine	numeric_normalization	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要低2米。不过，<KEY>[三峡、荆江]	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要更低2米。不过，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
stream	27	refine	numeric_normalization	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但百分之三十四的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比一九九八年还要更低两米。不过，	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要低2米。不过，<KEY>[三峡、荆江]	但34%的洪峰都在进入三峡下游前被削减。也让湖北荆江的最高水位线比1998年还要更低2米。不过，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
stream	30	refine	numeric_normalization	如今，长江沿线的国家蓄滞洪区多达四十六处，这些不到万不得已不。	如今，长江沿线的国家蓄滞洪区多达四十六处，这些不到万不得已不。	如今，长江沿线的国家蓄滞洪区多达46处，这些不到万不得已不。	如今，长江沿线的国家蓄滞洪区多达46处，这些不到万不得已不。	accepted		cleanup_signal_present	false
stream	31	refine	numeric_normalization	如今，长江沿线的国家蓄滞洪区多达四十六处，这些不到万不得已不会轻易开启的区域，	如今，长江沿线的国家蓄滞洪区多达四十六处，这些不到万不得已不会轻易开启的区域，	如今，长江沿线的国家蓄滞洪区多达46处，这些不到万不得已不会轻易开启的区域。	如今，长江沿线的国家蓄滞洪区多达46处，这些不到万不得已不会轻易开启的区域。	accepted		cleanup_signal_present	false
stream	32	refine	numeric_normalization	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	false
stream	32	refine	numeric_normalization	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于二点六个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	存蓄洪水的能力相当于2.6个三峡，也是迄今为止我们所拥有的最后一道防线。但无论如何，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	true
stream	32	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
stream	32	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中。	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
stream	33	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中国江河的数字模型。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
stream	33	refine	numeric_normalization	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者也在试图建立中国江河的数字模型。	这最后一道防线的代价都是沉重的。为了不让万一发生，今天的水利工作者们也在试图建立中国江河的数字模型，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
stream	34	refine	numeric_normalization	数百公里外的华北平原却一度无水可用，为此，人们只能创造新的江河。	数百公里外的华北平原却一度无水可用，为此，人们只能创造新的江河。	数百公里外的华北平原却一度无水可用，为此，人们只能创造新的江河。	数百公里外的华北平原却一度无水可用，为此，人们只能创造新的江河。	accepted		cleanup_signal_present	false
stream	36	refine	numeric_normalization	这就是向河南林州引水的红旗渠，常年被缺水所困的林州人民，硬是一锤一斧的凿通了这条七十公里的人工天河。	这就是向河南林州引水的红旗渠，常年被缺水所困的林州人民，硬是一锤一斧的凿通了这条七十公里的人工天河。	这就是向河南林州引水的红旗渠，常年被缺水所困的林州人民，硬是一锤一斧的凿通了这条70公里的人工天河。<KEY>[河南林州、红旗渠]	这就是向河南林州引水的红旗渠，常年被缺水所困的林州人民，硬是一锤一斧的凿通了这条70公里的人工天河。	accepted		cleanup_signal_present	false
stream	37	refine	numeric_normalization	但七十公里，在中国大地上也不过是沧海一粟。你眼前的这些，	但七十公里，在中国大地上也不过是沧海一粟。你眼前的这些，	但70公里，在中国大地上也不过是沧海一粟。你眼前的这些。	但70公里，在中国大地上也不过是沧海一粟。你眼前的这些。	accepted		cleanup_signal_present	false
stream	40	refine	numeric_normalization	长达九十八公里的输水隧洞直接贯穿秦岭，将汉江水调往人口密集的关中平原。在甘肃，	长达九十八公里的输水隧洞直接贯穿秦岭，将汉江水调往人口密集的关中平原。在甘肃，	长达98公里的输水隧洞直接贯穿秦岭，将汉江水调往人口密集的关中平原。在甘肃。<KEY>[秦岭、汉江、关中平原]	长达98公里的输水隧洞直接贯穿秦岭，将汉江水调往人口密集的关中平原。在甘肃。	accepted		cleanup_signal_present	false
stream	40	refine	numeric_normalization	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御。	accepted		cleanup_signal_present	false
stream	41	refine	numeric_normalization	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御着不断扩张的沙漠。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御着不断扩张的沙漠。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御着不断扩张的沙漠。	黄河水穿越荒漠，沿途串联起一座座绿洲城市，抵御着不断扩张的沙漠。	accepted		cleanup_signal_present	false
stream	41	refine	numeric_normalization	跨越七百多公里，流向安徽、河南等地。	跨越七百多公里，流向安徽、河南等地。	跨越700多公里，流向安徽、河南等地。	跨越700多公里，流向安徽、河南等地。	accepted		cleanup_signal_present	false
stream	43	refine	numeric_normalization	让长江水直接凌空而过九公里，以避免受到地表环境的影响。它拥有世界规模最大的泵站群。	让长江水直接凌空而过九公里，以避免受到地表环境的影响。它拥有世界规模最大的泵站群。	让长江水直接凌空而过9公里，以避免受到地表环境的影响。它拥有世界规模最大的泵站群。	让长江水直接凌空而过9公里，以避免受到地表环境的影响。它拥有世界规模最大的泵站群。	accepted		cleanup_signal_present	false
stream	44	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座天上的水力。<KEY>[天上的水力]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
stream	44	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座天上的水力。<KEY>[天上的水力]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上力。	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
stream	45	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交。<KEY>[水上立交]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	false
stream	45	refine	repeated_phrase,numeric_normalization	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	十三级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	13级泵站向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交。<KEY>[水上立交]	13级泵站一级一级地向高处提水，将长江水从江苏扬州一路送至黄河南岸。他还建起一座座上天入地的水上立交，	rejected	segment_1:semantic_content_loss	cleanup_signal_present	true
stream	45	refine	numeric_normalization	这项跨越八个省份、四大流域。总计两千多公里的调水工程，	这项跨越八个省份、四大流域。总计两千多公里的调水工程，	这项跨越8个省份、4大流域，总计2000多公里的调水工程。	这项跨越8个省份、4大流域，总计2000多公里的调水工程。	accepted		cleanup_signal_present	false
stream	45	refine	numeric_normalization	才能有条不紊地运行，而在南水北调全面通水的九年里，已将超过一条黄河的水量调往了华北，	才能有条不紊地运行，而在南水北调全面通水的九年里，已将超过一条黄河的水量调往了华北，	才能有条不紊地运行，而在南水北调全面通水的9年里，已将超过一条黄河的水量调往了华北。<KEY>[南水北调]	才能有条不紊地运行，而在南水北调全面通水的9年里，已将超过一条黄河的水量调往了华北。	accepted		cleanup_signal_present	false
stream	46	refine	numeric_normalization	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的44座城市和1.7亿元人口用上了长江水。今天，在现代科技的加持下。	让沿线的44座城市和1.7亿人口用上了长江水。今天，在现代科技的加持下，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	false
stream	46	refine	numeric_normalization	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的四十四座城市和一点七亿人口用上了长江水。今天，在现代科技的加持下，	让沿线的44座城市和1.7亿元人口用上了长江水。今天，在现代科技的加持下。	让沿线的44座城市和1.7亿人口用上了长江水。今天，在现代科技的加持下，	rejected	segment_1:numeric_value_mismatch	cleanup_signal_present	true
stream	46	refine	numeric_normalization	在这一县之内，五千多个大小湖泊和冰川、湿地等等，	在这一县之内，五千多个大小湖泊和冰川、湿地等等，	在这一县之内，5000多个大小湖泊和冰川、湿地等等。	在这一县之内，5000多个大小湖泊和冰川、湿地等等。	accepted		cleanup_signal_present	false
stream	46	refine	numeric_normalization	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过40%的水量。但你知道吗？在最后 decade。	为黄河补给了超过40%的水量。但你知道吗？在上世纪末，	rejected	segment_1:severe_content_loss,segment_1:numeric_value_mismatch	cleanup_signal_present	false
stream	46	refine	numeric_normalization	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过百分之四十的水量。但你知道吗？在上世纪末，	为黄河补给了超过40%的水量。但你知道吗？在最后十年。	为黄河补给了超过40%的水量。但你知道吗？在上世纪末，	rejected	segment_1:severe_content_loss,segment_1:numeric_value_mismatch	cleanup_signal_present	true
stream	46	refine	numeric_normalization	由于气候变化和过度放牧，这里百分之七十的草地都已退化。成为寸草不生的黑。	由于气候变化和过度放牧，这里百分之七十的草地都已退化。成为寸草不生的黑。	由于气候变化和过度放牧，这里70%的草地都已退化。成为寸草不生的黑。	由于气候变化和过度放牧，这里70%的草地都已退化。成为寸草不生的黑。	accepted		cleanup_signal_present	false
stream	47	refine	numeric_normalization	由于气候变化和过度放牧，这里百分之七十的草地都已退化。成为寸草不生的黑土滩，	由于气候变化和过度放牧，这里百分之七十的草地都已退化。成为寸草不生的黑土滩，	由于气候变化和过度放牧，这里70%的草地都已退化。成为寸草不生的黑土滩。	由于气候变化和过度放牧，这里70%的草地都已退化。成为寸草不生的黑土滩。	accepted		cleanup_signal_present	false
stream	47	refine	repeated_character	缓缓流淌。然而，在更大的视角下，	缓缓流淌。然而，在更大的视角下，	缓缓流淌。然而，在更大的视角下，	缓缓流淌。然而，在更大的视角下，	accepted		cleanup_signal_present	false
stream	47	refine	numeric_normalization	每逢雨季，在水流的冲刷下，超过十亿吨泥沙沿着六。	每逢雨季，在水流的冲刷下，超过十亿吨泥沙沿着六。	每逢雨季，在水流的冲刷下，超过10亿吨泥沙沿着6。	每逢雨季，在水流的冲刷下，超过10亿吨泥沙沿着6。	accepted		cleanup_signal_present	false
stream	48	refine	numeric_normalization	每逢雨季，在水流的冲刷下，超过十亿吨泥沙沿着六十多万条沟谷，	每逢雨季，在水流的冲刷下，超过十亿吨泥沙沿着六十多万条沟谷，	每逢雨季，在水流的冲刷下，超过10亿吨泥沙沿着60多万条沟谷。	每逢雨季，在水流的冲刷下，超过10亿吨泥沙沿着60多万条沟谷。	accepted		cleanup_signal_present	false
stream	48	refine	repeated_character,numeric_normalization	源源不断地汇入黄河，让黄河一度成为世界上含沙量最大的河流。但黄河也只是冰山一角。	源源不断地汇入黄河，让黄河一度成为世界上含沙量最大的河流。但黄河也只是冰山一角。	源源不断地汇入黄河，让黄河一度成为世界上含沙量最大的河流。但黄河也只是冰山一角。	源源不断地汇入黄河，让黄河一度成为世界上含沙量最大的河流。但黄河也只是冰山一角。	accepted		cleanup_signal_present	false
stream	49	refine	numeric_normalization	守护着这里大面积的湿地和数千种生灵。在黄河中游，经过了七十多年的水土流失治理，	守护着这里大面积的湿地和数千种生灵。在黄河中游，经过了七十多年的水土流失治理，	守护着这里大面积的湿地和数千种生灵。在黄河中游，经过了70多年的水土流失治理。	守护着这里大面积的湿地和数千种生灵。在黄河中游，经过了70多年的水土流失治理。	accepted		cleanup_signal_present	false
stream	50	refine	numeric_normalization	漫山遍野的林草覆盖大地，让进入黄河的泥沙从曾经的十六亿吨减少到了两亿吨。至此，	漫山遍野的林草覆盖大地，让进入黄河的泥沙从曾经的十六亿吨减少到了两亿吨。至此，	漫山遍野的林草覆盖大地，让进入黄河的泥沙从之前的16亿吨减少到了2亿吨。至此。	漫山遍野的林草覆盖大地，让进入黄河的泥沙从之前的16亿吨减少到了2亿吨。至此。	accepted		cleanup_signal_present	false
stream	50	refine	numeric_normalization	中国大地上，大自然和人类共同创造的江河纵横交织，共同编织出一张互相连通、	中国大地上，大自然和人类共同创造的江河纵横交织，共同编织出一张互相连通、	中国大地上，大自然和人类共同创造的江河纵横交织，共同编织出一张互相连通的东西。	中国大地上，大自然和人类共同创造的江河纵横交织，共同编织出一张互相连通的东西。	accepted		cleanup_signal_present	false
stream	51	refine	numeric_normalization	我们面对过太多的水旱天灾，遭受过太多的苦难创伤，才终于创造出一个拥有强大水利能力的文明。	我们面对过太多的水旱天灾，遭受过太多的苦难创伤，才终于创造出一个拥有强大水利能力的文明。	我们面对过太多的水旱天灾，遭受过太多的苦难创伤，才终于创造出一个拥有强大水利能力的文明。	我们面对过太多的水旱天灾，遭受过太多的苦难创伤，才终于创造出一个拥有强大水利能力的文明。	accepted		cleanup_signal_present	false
final	51	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多的<KEY>[天河之水]	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多、	rejected	segment_1:semantic_substitution	cleanup_signal_present	false
final	51	refine	numeric_normalization	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作四点五万条江河，日夜奔流，让中国成为世界上河流最多、	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多的<KEY>[天河之水]	天河之水又化作4.5万条江河，日夜奔流，让中国成为世界上河流最多、	rejected	segment_1:semantic_substitution	cleanup_signal_present	true
final	51	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。<KEY>[长江、湖北、荆州]	45.22米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	false
final	51	refine	numeric_normalization	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	四十五点二二米，或许大多数人对这个数字并没有什么感知，但这就是一九九八年长江在湖北荆州的最高水位线。	45.2米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。<KEY>[长江、湖北、荆州]	45.22米，或许大多数人对这个数字并没有什么感知，但这就是1998年长江在湖北荆州的最高水位线。	rejected	segment_1:numeric_value_mismatch,segment_1:semantic_content_loss	cleanup_signal_present	true
